t,mode,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd,Vbat
1.790,FWD,1.200,1.200,-0.429,0.930,1.0000,-1.0000,0.9000,0.0000,0.0500,
1.808,FWD,1.200,1.200,-0.441,1.104,0.9711,-1.0000,0.9000,0.0000,0.0500,
1.831,FWD,1.200,1.200,1.016,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
1.848,FWD,1.200,1.200,1.015,-0.943,-0.3699,1.0000,0.9000,0.0000,0.0500,
1.870,FWD,1.200,1.200,-0.580,0.726,1.0000,-1.0000,0.9000,0.0000,0.0500,
1.888,FWD,1.200,1.200,-0.508,0.943,0.7537,-1.0000,0.9000,0.0000,0.0500,
1.911,FWD,1.200,1.200,0.870,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
1.928,FWD,1.200,1.200,0.798,-0.942,-0.0585,1.0000,0.9000,0.0000,0.0500,
1.951,FWD,1.200,1.200,-0.580,0.726,1.0000,-1.0000,0.9000,0.0000,0.0500,
1.968,FWD,1.200,1.200,-0.218,0.944,-0.2325,-1.0000,0.9000,0.0000,0.0500,
1.989,FWD,1.200,1.200,0.435,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
2.009,FWD,1.200,1.200,-0.218,-0.870,1.0000,1.0000,0.9000,0.0000,0.0500,
2.030,FWD,1.200,1.200,-0.580,0.798,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.049,FWD,1.200,1.200,1.015,1.016,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.069,FWD,1.200,1.200,0.943,-0.725,-0.1888,1.0000,0.9000,0.0000,0.0500,
2.088,FWD,1.200,1.200,-0.507,-0.870,1.0000,1.0000,0.9000,0.0000,0.0500,
2.110,FWD,1.200,1.200,-0.215,0.861,-0.0592,-1.0000,0.9000,0.0000,0.0500,
2.128,FWD,1.200,1.200,0.514,1.028,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.150,FWD,1.200,1.200,0.000,-0.580,1.0000,1.0000,0.9000,0.0000,0.0500,
2.168,FWD,1.200,1.200,-0.508,-0.871,1.0000,1.0000,0.9000,0.0000,0.0500,
2.192,FWD,1.200,1.200,1.148,0.790,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.208,FWD,1.200,1.200,1.027,1.100,-0.1421,-1.0000,0.9000,0.0000,0.0500,
2.230,FWD,1.200,1.200,-0.501,-0.716,1.0000,1.0000,0.9000,0.0000,0.0500,
2.248,FWD,1.200,1.200,-0.221,-0.882,-0.0252,1.0000,0.9000,0.0000,0.0500,
2.270,FWD,1.200,1.200,0.573,0.787,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.289,FWD,1.200,1.200,0.000,0.956,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.310,FWD,1.200,1.200,-0.352,-0.775,1.0000,1.0000,0.9000,0.0000,0.0500,
2.329,FWD,1.200,1.200,1.045,-0.895,-1.0000,1.0000,0.9000,0.0000,0.0500,
2.349,FWD,1.200,1.200,1.014,0.797,-0.3595,-1.0000,0.9000,0.0000,0.0500,
2.369,FWD,1.200,1.200,-0.582,0.873,1.0000,-0.8245,0.9000,0.0000,0.0500,
2.391,FWD,1.200,1.200,-0.361,-0.578,0.2496,1.0000,0.9000,0.0000,0.0500,
2.410,FWD,1.200,1.200,0.947,-0.801,-1.0000,1.0000,0.9000,0.0000,0.0500,
2.430,FWD,1.200,1.200,0.653,0.798,0.6229,-1.0000,0.9000,0.0000,0.0500,
2.448,FWD,1.200,1.200,-0.145,0.943,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.472,FWD,1.200,1.200,0.928,-0.785,-1.0000,1.0000,0.9000,0.0000,0.0500,
2.488,FWD,1.200,1.200,0.959,-1.032,-0.4635,1.0000,0.9000,0.0000,0.0500,
2.510,FWD,1.200,1.200,-0.290,0.725,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.528,FWD,1.200,1.200,-0.290,0.943,0.7371,-1.0000,0.9000,0.0000,0.0500,
2.552,FWD,1.200,1.200,1.016,-0.653,-1.0000,1.0000,0.9000,0.0000,0.0500,
2.568,FWD,1.200,1.200,0.871,-0.943,0.0549,1.0000,0.9000,0.0000,0.0500,
2.590,FWD,1.200,1.200,-0.072,0.722,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.609,FWD,1.200,1.200,0.291,0.874,-0.6954,-1.0000,0.9000,0.0000,0.0500,
2.629,FWD,1.200,1.200,0.580,-0.725,-0.7675,1.0000,0.9000,0.0000,0.0500,
2.649,FWD,1.200,1.200,-0.508,-0.798,1.0000,0.9728,0.9000,0.0000,0.0500,
2.670,FWD,1.200,1.200,-0.580,0.798,1.0000,-1.0000,0.9000,0.0000,0.0500,
2.689,FWD,1.200,1.200,0.943,1.016,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.709,FWD,1.200,1.200,1.015,-0.725,-0.6185,1.0000,0.9000,0.0000,0.0500,
2.729,FWD,1.200,1.200,-0.503,-0.862,1.0000,1.0000,0.9000,0.0000,0.0500,
2.750,FWD,1.200,1.200,-0.436,0.799,0.6999,-1.0000,0.9000,0.0000,0.0500,
2.769,FWD,1.200,1.200,0.878,0.951,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.790,FWD,1.200,1.200,0.726,-0.726,0.2037,1.0000,0.9000,0.0000,0.0500,
2.808,FWD,1.200,1.200,-0.073,-0.870,1.0000,1.0000,0.9000,0.0000,0.0500,
2.831,FWD,1.200,1.200,0.360,0.791,-0.9277,-1.0000,0.9000,0.0000,0.0500,
2.848,FWD,1.200,1.200,0.585,1.097,-0.6141,-1.0000,0.9000,0.0000,0.0500,
2.870,FWD,1.200,1.200,-0.581,-0.653,1.0000,1.0000,0.9000,0.0000,0.0500,
2.889,FWD,1.200,1.200,-0.500,-0.927,0.7225,1.0000,0.9000,0.0000,0.0500,
2.921,FWD,1.200,1.200,0.809,0.735,-1.0000,-1.0000,0.9000,0.0000,0.0500,
2.929,FWD,1.200,1.200,1.019,1.747,-0.9670,-1.0000,0.9000,0.0000,0.0500,
2.950,FWD,1.200,1.200,-0.798,0.290,1.0000,1.0000,0.9000,0.0000,0.0500,
2.968,FWD,1.200,1.200,-0.726,-0.508,0.7539,1.0000,0.9000,0.0000,0.0500,
2.993,FWD,1.200,1.200,0.725,1.088,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.008,FWD,1.200,1.200,0.798,1.233,-0.6178,-0.9301,0.9000,0.0000,0.0500,
3.031,FWD,1.200,1.200,-0.653,-0.580,1.0000,1.0000,0.9000,0.0000,0.0500,
3.048,FWD,1.200,1.200,-0.508,-0.798,0.3761,1.0000,0.9000,0.0000,0.0500,
3.071,FWD,1.200,1.200,0.653,0.725,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.089,FWD,1.200,1.200,0.508,1.089,0.1862,-1.0000,0.9000,0.0000,0.0500,
3.109,FWD,1.200,1.200,-0.362,-0.652,1.0000,1.0000,0.9000,0.0000,0.0500,
3.129,FWD,1.200,1.200,0.145,-0.871,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.149,FWD,1.200,1.200,0.508,0.726,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.169,FWD,1.200,1.200,-0.943,1.016,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.190,FWD,1.200,1.200,-0.870,-0.725,0.7519,1.0000,0.9000,0.0000,0.0500,
3.209,FWD,1.200,1.200,0.650,-0.866,-1.0000,1.0000,0.9000,0.0000,0.0500,
3.229,FWD,1.200,1.200,0.573,0.716,-0.1737,-1.0000,0.9000,0.0000,0.0500,
3.249,FWD,1.200,1.200,-0.813,0.887,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.270,FWD,1.200,1.200,-0.508,-0.653,-0.1544,1.0000,0.9000,0.0000,0.0500,
3.288,BACK,-1.200,-1.200,0.435,-0.942,-1.0000,-0.2771,0.9000,0.0000,0.0500,
3.309,BACK,-1.200,-1.200,-0.218,0.073,1.0000,-1.0000,0.9000,0.0000,0.0500,
3.329,BACK,-1.200,-1.200,-0.573,-0.501,0.7933,0.9505,0.9000,0.0000,0.0500,
3.349,BACK,-1.200,-1.200,0.809,-0.735,-1.0000,0.3126,0.9000,0.0000,0.0500,
3.369,BACK,-1.200,-1.200,0.871,0.653,-1.0000,-1.0000,0.9000,0.0000,0.0500,
3.390,BACK,-1.200,-1.200,-0.798,0.580,1.0000,-0.7522,0.9000,0.0000,0.0500,
3.409,BACK,-1.200,-1.200,-0.798,-0.871,0.5036,1.0000,0.9000,0.0000,0.0500,
3.429,BACK,-1.200,-1.200,0.576,-0.720,-1.0000,-0.1406,0.9000,0.0000,0.0500,
