t,cmd,setL,setR,rpsL,rpsR,outL,outR,Kp,Ki,Kd
2.507,S,-0.030,-0.030,0.000,0.000,-0.0180,-0.0180,0.600,0.000,0.000
2.528,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.547,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.567,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.587,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.607,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.627,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.647,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.667,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.687,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.707,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.727,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.747,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.767,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.787,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.807,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.827,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.847,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.867,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.887,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.907,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.927,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.947,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.967,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
2.987,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.007,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.027,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.047,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.067,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.087,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.107,D,0.030,-0.030,0.000,0.000,0.0180,-0.0180,0.600,0.000,0.000
3.127,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.147,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.167,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.187,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.207,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.227,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.247,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.267,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.287,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.307,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.327,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.347,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.367,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.387,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.407,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.427,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.447,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.467,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.487,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.507,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.527,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.547,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.567,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.587,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.607,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.627,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
3.647,STOP,0.000,0.000,0.000,0.000,0.0000,0.0000,0.600,0.000,0.000
