t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
1.631,1.800,1.000,0.800,2.800,1.089,2.686,0.3040,0.7640,-0.1503,0.3082,0.1537,0.8149
1.651,1.800,1.000,0.800,2.800,1.094,2.844,0.3040,0.7640,-0.1888,-0.4217,0.1152,0.7149
1.671,1.800,1.000,0.800,2.800,1.094,2.772,0.3040,0.7640,-0.1773,0.1972,0.1267,0.8149
1.690,1.800,1.000,0.800,2.800,1.018,2.691,0.3040,0.7640,0.0589,0.2680,0.2267,0.9149
1.717,1.800,1.000,0.800,2.800,1.075,2.724,0.3040,0.7640,-0.3083,-0.0385,0.1267,0.8149
1.736,1.800,1.000,0.800,2.800,1.073,2.790,0.3040,0.7640,-0.1578,-0.1578,0.1462,0.7149
1.754,1.800,1.000,0.800,2.800,1.091,2.764,0.3040,0.7640,-0.2202,0.0851,0.0838,0.8149
1.776,1.800,1.000,0.800,2.800,1.108,2.733,0.3040,0.7640,-0.2266,0.1194,0.0774,0.8834
1.794,1.800,1.000,0.800,2.800,1.020,2.769,0.3040,0.7640,0.0874,-0.0724,0.1774,0.7834
1.813,1.800,1.000,0.800,2.800,0.938,2.813,0.3040,0.7640,0.1239,-0.1167,0.2774,0.6834
1.837,1.800,1.000,0.800,2.800,1.045,2.786,0.3040,0.7640,-0.4152,0.0741,0.1774,0.7834
1.858,1.800,1.000,0.800,2.800,1.137,2.805,0.3040,0.7640,-0.4330,-0.0492,0.0774,0.7148
1.874,1.800,1.000,0.800,2.800,0.991,2.689,0.3040,0.7640,0.2518,0.3560,0.1774,0.8148
1.894,1.800,1.000,0.800,2.800,1.047,2.691,0.3040,0.7640,-0.2876,0.0600,0.0774,0.8240
1.916,1.800,1.000,0.800,2.800,1.009,2.893,0.3040,0.7640,-0.0320,-0.5594,0.1774,0.7240
1.934,1.800,1.000,0.800,2.800,1.102,2.912,0.3040,0.7640,-0.4128,-0.1166,0.0774,0.6474
1.952,1.800,1.000,0.800,2.800,0.996,2.846,0.3040,0.7640,0.1463,0.1371,0.1774,0.7474
1.971,1.800,1.000,0.800,2.800,0.885,2.729,0.3040,0.7640,0.2263,0.3349,0.2774,0.8474
1.990,1.800,1.000,0.800,2.800,1.019,2.765,0.3040,0.7640,-0.4652,-0.0695,0.1774,0.7474
2.011,1.800,1.000,0.800,2.800,1.113,2.851,0.3040,0.7640,-0.4223,-0.2454,0.0774,0.6474
2.030,1.800,1.000,0.800,2.800,1.091,2.763,0.3040,0.7640,-0.1197,0.2423,0.1774,0.7474
2.051,1.800,1.000,0.800,2.800,1.022,2.702,0.3040,0.7640,0.0372,0.2109,0.2774,0.8474
2.072,1.800,1.000,0.800,2.800,1.090,2.763,0.3040,0.7640,-0.3442,-0.1282,0.1774,0.7474
2.093,1.800,1.000,0.800,2.800,1.173,2.712,0.3040,0.7640,-0.4300,0.1783,0.0774,0.8474
2.111,1.800,1.000,0.800,2.800,1.174,2.715,0.3040,0.7640,-0.2272,0.0442,0.0768,0.8082
2.131,1.800,1.000,0.800,2.800,1.085,2.749,0.3040,0.7640,0.0516,-0.0530,0.1768,0.7110
2.150,1.800,1.000,0.800,2.800,1.095,2.775,0.3040,0.7640,-0.2034,-0.0515,0.1006,0.7125
2.170,1.800,1.000,0.800,2.800,1.095,2.774,0.3040,0.7640,-0.1761,0.0175,0.1279,0.7815
2.190,1.800,1.000,0.800,2.800,1.016,2.756,0.3040,0.7640,0.0694,0.0707,0.2279,0.8347
2.211,1.800,1.000,0.800,2.800,1.117,2.793,0.3040,0.7640,-0.4447,-0.0875,0.1279,0.7347
2.231,1.800,1.000,0.800,2.800,1.090,2.756,0.3040,0.7640,-0.1051,0.1190,0.1989,0.8347
2.251,1.800,1.000,0.800,2.800,1.094,2.777,0.3040,0.7640,-0.1874,-0.0382,0.1166,0.7347
2.271,1.800,1.000,0.800,2.800,1.159,2.752,0.3040,0.7640,-0.3772,0.0900,0.0166,0.8347
2.291,1.800,1.000,0.800,2.800,1.027,2.789,0.3040,0.7640,0.1923,-0.0845,0.1166,0.7347
